var,P10,P50,P90
worth,6943,11327,15711
play_prob,0.317800,0.630224,0.804500
price_mult,0.7608,1.0000,1.3144
recovery,0.350000,0.477136,0.600000
cancel_fee,558,837,1116
flex_premium,155.35,388.3765,621.40
sellout,0.25,0.45,0.65
risk_tol,2500,10000,50000
